Date,Close
12/3/2020,50.06
12/4/2020,49.25
12/7/2020,47.93
12/8/2020,50.85
12/9/2020,48.94
12/10/2020,50.11
12/11/2020,50.09
12/14/2020,50.58
12/15/2020,50.5
12/16/2020,53.8
12/17/2020,55.2
12/18/2020,53.9
12/21/2020,53.34
12/22/2020,52.4
12/23/2020,53.89
12/24/2020,52.11
12/28/2020,48.96
12/29/2020,48.11
12/30/2020,48.95
12/31/2020,46.56
1/4/2021,44.86
1/5/2021,47.58
1/6/2021,49
1/7/2021,49.77
1/8/2021,52
1/11/2021,53.6
1/12/2021,53.39
1/13/2021,54.63
1/14/2021,54.92
1/15/2021,53.7
1/19/2021,51.29
1/20/2021,53.18
1/21/2021,53.56
1/22/2021,52.53
1/25/2021,51.29
1/26/2021,54.06
1/27/2021,54.27
1/28/2021,56.17
1/29/2021,54.11
2/1/2021,54.64
2/2/2021,59.31
2/3/2021,60.11
2/4/2021,63.16
2/5/2021,63.87
2/8/2021,61.97
2/9/2021,62.13
2/10/2021,62.71
2/11/2021,59.19
2/12/2021,61.07
2/16/2021,60.5
2/17/2021,58.86
2/18/2021,58.28
2/19/2021,60.91
2/22/2021,60.37
2/23/2021,60.27
2/24/2021,60.28
2/25/2021,57.81
2/26/2021,61.53
3/1/2021,68.72
3/2/2021,68.58
3/3/2021,65.75
3/4/2021,61.91
3/5/2021,59.52
3/8/2021,60.5
3/9/2021,62.2
3/10/2021,69.29
3/11/2021,71.61
3/12/2021,71.75
3/15/2021,67.75
3/16/2021,67.14
3/17/2021,70.65
3/18/2021,67.61
3/19/2021,71.98
3/22/2021,71.72
3/23/2021,69.75
3/24/2021,66.63
3/25/2021,65.86
3/26/2021,63.6
3/29/2021,58.2
3/30/2021,61
3/31/2021,61.33
4/1/2021,62.88
4/5/2021,62.63
4/6/2021,63.8
4/7/2021,62.09
4/8/2021,61.11
4/9/2021,62.31
4/12/2021,58.03
4/13/2021,59.24
4/14/2021,58.88
4/15/2021,57.48
4/16/2021,57.98
4/19/2021,56.68
4/20/2021,55.71
4/21/2021,58.78
4/22/2021,57.17
4/23/2021,58.12
4/26/2021,59.23
4/27/2021,59.13
4/28/2021,59.69
4/29/2021,57.46
4/30/2021,56.66
5/3/2021,57.08
5/4/2021,56.13
5/5/2021,56.18
5/6/2021,51.89
5/7/2021,48.42
5/10/2021,45.34
5/11/2021,44.01
5/12/2021,42.11
5/13/2021,40.99
5/14/2021,44.89
5/17/2021,43.51
5/18/2021,44.27
5/19/2021,43.44
5/20/2021,44.54
5/21/2021,44.63
5/24/2021,47.86
5/25/2021,48.42
5/26/2021,49.46
5/27/2021,50.4
5/28/2021,49.95
6/1/2021,49.57
6/2/2021,50.97
6/3/2021,49.71
6/4/2021,50.33
6/7/2021,53.51
6/8/2021,55.3
6/9/2021,54.48
6/10/2021,53.65
6/11/2021,53.14
6/14/2021,50.62
6/15/2021,48.51
6/16/2021,48.81
6/17/2021,49.2
6/18/2021,48.06
6/21/2021,49
6/22/2021,50.16
6/23/2021,50.53
6/24/2021,51.06
6/25/2021,51.67
