Date,Close
9/9/2020,1.97
9/10/2020,1.89
9/11/2020,1.8
9/14/2020,1.98
9/15/2020,1.98
9/16/2020,2.07
9/17/2020,1.99
9/18/2020,1.92
9/21/2020,1.89
9/22/2020,1.82
9/23/2020,1.64
9/24/2020,1.75
9/25/2020,1.93
9/28/2020,2.02
9/29/2020,2.02
9/30/2020,1.96
10/1/2020,1.95
10/2/2020,1.96
10/5/2020,1.96
10/6/2020,1.87
10/7/2020,1.94
10/8/2020,2.14
10/9/2020,2.16
10/12/2020,2.42
10/13/2020,2.36
10/14/2020,2.25
10/15/2020,2.33
10/16/2020,2.18
10/19/2020,2.34
10/20/2020,2.46
10/21/2020,2.84
10/22/2020,3
10/23/2020,2.74
10/26/2020,2.54
10/27/2020,2.76
10/28/2020,2.35
10/29/2020,2.28
10/30/2020,2.16
11/2/2020,2.1
11/3/2020,2.22
11/4/2020,2.35
11/5/2020,2.5
11/6/2020,2.41
11/9/2020,2.21
11/10/2020,2.19
11/11/2020,2.33
11/12/2020,2.3
11/13/2020,2.39
11/16/2020,2.48
11/17/2020,3.1
11/18/2020,2.89
11/19/2020,3.09
11/20/2020,3.39
11/23/2020,4.92
11/24/2020,4.91
11/25/2020,5.12
11/27/2020,4.28
11/30/2020,6.28
12/1/2020,6.19
12/2/2020,5.76
12/3/2020,5.91
12/4/2020,5.4
12/7/2020,5.51
12/8/2020,5.18
12/9/2020,4.78
12/10/2020,5.22
12/11/2020,4.75
12/14/2020,5.54
12/15/2020,7.07
12/16/2020,8.23
12/17/2020,9.47
12/18/2020,9.31
12/21/2020,11.5
12/22/2020,13.97
12/23/2020,10.81
12/24/2020,10.92
12/28/2020,12.25
12/29/2020,11.76
12/30/2020,10.88
12/31/2020,10.44
1/4/2021,11.01
1/5/2021,13.59
1/6/2021,16.96
1/7/2021,22.36
1/8/2021,26.39
1/11/2021,23.36
1/12/2021,26.15
1/13/2021,23
1/14/2021,24.44
1/15/2021,22.39
1/19/2021,22.35
1/20/2021,19.27
1/21/2021,17.56
1/22/2021,18.3
1/25/2021,18.22
1/26/2021,18.6
1/27/2021,17.65
1/28/2021,19.9
1/29/2021,20.74
2/1/2021,20.74
2/2/2021,22.74
2/3/2021,23.67
2/4/2021,22.8
2/5/2021,22.52
2/8/2021,32.07
2/9/2021,37.59
2/10/2021,34.01
2/11/2021,37.27
2/12/2021,38.46
2/16/2021,43.56
2/17/2021,47.9
2/18/2021,40.98
2/19/2021,43.27
2/22/2021,37.11
2/23/2021,28.56
2/24/2021,33.41
2/25/2021,30.63
2/26/2021,30.15
3/1/2021,38.5
3/2/2021,34.89
3/3/2021,36.62
3/4/2021,32.01
3/5/2021,30.03
3/8/2021,28.51
3/9/2021,36.77
3/10/2021,38.19
3/11/2021,41.81
3/12/2021,40.7
3/15/2021,43.1
3/16/2021,38.36
3/17/2021,43.18
3/18/2021,41.56
3/19/2021,43.05
3/22/2021,39.99
3/23/2021,38.04
3/24/2021,34.04
3/25/2021,34.2
3/26/2021,36.09
3/29/2021,38.13
3/30/2021,44.14
3/31/2021,48.02
4/1/2021,48.85
4/5/2021,56.56
4/6/2021,52.45
4/7/2021,46.26
4/8/2021,49.82
4/9/2021,49
4/12/2021,50.07
4/13/2021,51
4/14/2021,42.97
4/15/2021,42.14
4/16/2021,38.93
4/19/2021,35.55
4/20/2021,33.57
4/21/2021,34.93
4/22/2021,31.06
4/23/2021,32.3
4/26/2021,34.14
4/27/2021,34.12
4/28/2021,37.64
4/29/2021,34.26
4/30/2021,36.78
5/3/2021,36.22
5/4/2021,33.95
5/5/2021,33.55
5/6/2021,31.4
5/7/2021,31.33
5/10/2021,27.82
5/11/2021,25.95
5/12/2021,22.85
5/13/2021,19.66
5/14/2021,23.08
5/17/2021,22.36
5/18/2021,22.99
5/19/2021,21.71
5/20/2021,21.89
5/21/2021,20.89
5/24/2021,23.15
5/25/2021,22.62
5/26/2021,25.26
5/27/2021,25.84
5/28/2021,24.77
6/1/2021,25.2
6/2/2021,25.24
6/3/2021,23.79
6/4/2021,24.35
