Date,Close
6/15/2020,46.76
6/16/2020,47.09
6/17/2020,49.56
6/18/2020,48.2
6/19/2020,50.3
6/22/2020,50.91
6/23/2020,48.91
6/24/2020,49.74
6/25/2020,49.44
6/26/2020,46.94
6/29/2020,45.15
6/30/2020,44.69
7/1/2020,46.46
7/2/2020,47.08
7/6/2020,46.97
7/7/2020,47.8
7/8/2020,49.99
7/9/2020,51.92
7/10/2020,48.55
7/13/2020,49.05
7/14/2020,48
7/15/2020,47.12
7/16/2020,48.22
7/17/2020,46.8
7/20/2020,49.43
7/21/2020,48.81
7/22/2020,48.71
7/23/2020,47.52
7/24/2020,45.96
7/27/2020,46.73
7/28/2020,46.32
7/29/2020,47.59
7/30/2020,49.02
7/31/2020,52.49
8/3/2020,56.84
8/4/2020,58.14
8/5/2020,58.82
8/6/2020,56.74
8/7/2020,54.91
8/10/2020,53.4
8/11/2020,50.61
8/12/2020,53.15
8/13/2020,54.62
8/14/2020,53.79
8/17/2020,55.63
8/18/2020,57.12
8/19/2020,56.22
8/20/2020,57.21
8/21/2020,56.97
8/24/2020,57.06
8/25/2020,56.66
8/26/2020,58.28
8/27/2020,56.88
8/28/2020,59.73
8/31/2020,61.07
9/1/2020,69.43
9/2/2020,70.1
9/3/2020,61.94
9/4/2020,61.18
9/8/2020,60.8
9/9/2020,61.5
9/10/2020,59.69
9/11/2020,53.81
9/14/2020,53
9/15/2020,54.11
9/16/2020,56.16
9/17/2020,54.42
9/18/2020,53
9/21/2020,53.22
9/22/2020,54.48
9/23/2020,54.99
9/24/2020,54.96
9/25/2020,56
9/28/2020,56.37
9/29/2020,54.97
9/30/2020,54.83
10/1/2020,58.93
10/2/2020,56.55
10/5/2020,57.52
10/6/2020,56.16
10/7/2020,57.04
10/8/2020,58.67
10/9/2020,61.58
10/12/2020,64.45
10/13/2020,66.86
10/14/2020,64.12
10/15/2020,64.88
10/16/2020,67.24
10/19/2020,68.89
10/20/2020,68.11
10/21/2020,64.67
10/22/2020,63.62
10/23/2020,63.63
10/26/2020,63.49
10/27/2020,67.72
10/28/2020,72.01
10/29/2020,67.67
10/30/2020,61.6
11/2/2020,60.79
11/3/2020,64.24
11/4/2020,67.04
11/5/2020,67.59
11/6/2020,70.32
11/9/2020,62.09
11/10/2020,59.92
11/11/2020,63.96
11/12/2020,63.38
11/13/2020,62.99
11/16/2020,64.33
11/17/2020,64.38
11/18/2020,66.4
11/19/2020,66.72
11/20/2020,68.71
11/23/2020,69.27
11/24/2020,67.25
11/25/2020,69.34
11/27/2020,74.25
11/30/2020,77.58
12/1/2020,75.34
12/2/2020,71.23
12/3/2020,72.68
12/4/2020,74.94
12/7/2020,74.78
12/8/2020,79.15
12/9/2020,75.57
12/10/2020,78.07
12/11/2020,85.11
12/14/2020,82.81
12/15/2020,91.13
12/16/2020,94.12
12/17/2020,100.18
12/18/2020,100.13
12/21/2020,107.49
12/22/2020,106.69
12/23/2020,102.08
12/24/2020,104.01
12/28/2020,92.61
12/29/2020,90.92
12/30/2020,92.34
12/31/2020,89.89
1/4/2021,88.9
1/5/2021,95.29
1/6/2021,94.02
1/7/2021,97.98
1/8/2021,96.87
1/11/2021,97.15
1/12/2021,104.15
1/13/2021,112.46
1/14/2021,114.63
1/15/2021,108.11
1/19/2021,107.32
1/20/2021,104.39
1/21/2021,105.1
1/22/2021,105.08
1/25/2021,102.49
1/26/2021,102.29
1/27/2021,103.99
1/28/2021,103.95
1/29/2021,101.82
2/1/2021,101.44
2/2/2021,101.76
2/3/2021,103.71
2/4/2021,106.83
2/5/2021,110.7
2/8/2021,107.76
2/9/2021,109.75
2/10/2021,107.09
2/11/2021,108.94
2/12/2021,118.69
2/16/2021,114.74
2/17/2021,110.49
2/18/2021,110.29
2/19/2021,113.95
2/22/2021,108.68
2/23/2021,109.78
2/24/2021,105.23
2/25/2021,101.55
2/26/2021,101.56
3/1/2021,104.8
3/2/2021,98.86
3/3/2021,91.57
3/4/2021,87.65
3/5/2021,82.87
3/8/2021,76.33
3/9/2021,80.43
3/10/2021,80.59
3/11/2021,87.27
3/12/2021,85.6
3/15/2021,86.55
3/16/2021,82.29
3/17/2021,81.52
3/18/2021,77.51
3/19/2021,82.53
3/22/2021,85.88
3/23/2021,84.69
3/24/2021,79
3/25/2021,79.04
3/26/2021,78.66
3/29/2021,78.85
3/30/2021,80.38
3/31/2021,84.71
4/1/2021,82.71
4/5/2021,80.85
4/6/2021,82.55
4/7/2021,81.85
4/8/2021,81.82
4/9/2021,84.1
4/12/2021,84.04
4/13/2021,87.38
4/14/2021,85.56
4/15/2021,86.6
4/16/2021,84.15
4/19/2021,78.98
4/20/2021,77
4/21/2021,80.24
4/22/2021,79.6
4/23/2021,80.59
4/26/2021,82.62
4/27/2021,82.68
4/28/2021,81.89
4/29/2021,81.45
4/30/2021,79.72
5/3/2021,80.65
5/4/2021,77.34
5/5/2021,74.43
5/6/2021,71.51
5/7/2021,71
5/10/2021,67.83
5/11/2021,71.42
5/12/2021,68
5/13/2021,65.68
5/14/2021,67.75
5/17/2021,70.21
5/18/2021,70.42
5/19/2021,70.59
5/20/2021,69.6
5/21/2021,67.76
5/24/2021,71.71
5/25/2021,72.93
5/26/2021,73.96
5/27/2021,75.28
5/28/2021,73.62
6/1/2021,73.53
6/2/2021,77.52
6/3/2021,75.13
6/4/2021,75.21
6/7/2021,78.56
6/8/2021,79.47
6/9/2021,77.77
6/10/2021,79.35
6/11/2021,74.74
6/14/2021,75.07
6/15/2021,73.9
6/16/2021,77.2
6/17/2021,77.67
6/18/2021,78.5
6/21/2021,77.85
6/22/2021,77.22
6/23/2021,78.85
6/24/2021,80.62
6/25/2021,80.35
6/28/2021,83
6/29/2021,81.88
6/30/2021,79.71
7/1/2021,80.64
7/2/2021,80.55
7/6/2021,84.42
7/7/2021,83.64
7/8/2021,81.24
7/9/2021,85.57
7/12/2021,84.35
7/13/2021,84.22
7/14/2021,78.91
7/15/2021,77.49
7/16/2021,76.98
7/19/2021,82.24
7/20/2021,82.7
7/21/2021,83.2
7/22/2021,84.67
7/23/2021,86.74
7/26/2021,86.35
7/27/2021,85.35
7/28/2021,89.43
7/29/2021,86.67
7/30/2021,83.7
8/2/2021,85.38
8/3/2021,86.75
8/4/2021,90.04
8/5/2021,91.94
8/6/2021,89.22
8/9/2021,91.14
8/10/2021,90.73
8/11/2021,91.34
8/12/2021,95.08
8/13/2021,95.7
8/16/2021,91.78
8/17/2021,92.59
8/18/2021,91.07
8/19/2021,89.7
8/20/2021,86.52
8/23/2021,88.33
8/24/2021,92.1
8/25/2021,92.21
8/26/2021,89.55
8/27/2021,88.11
8/30/2021,90.1
8/31/2021,88.12
9/1/2021,87.43
9/2/2021,79.31
9/3/2021,76.75
9/7/2021,75.82
9/8/2021,75.95
9/9/2021,76.6
9/10/2021,74.99
9/13/2021,73.64
9/14/2021,72.22
9/15/2021,73.65
9/16/2021,74.92
9/17/2021,75.62
9/20/2021,75.63
9/21/2021,75.15
9/22/2021,73.84
9/23/2021,73.45
9/24/2021,69.83
9/27/2021,70.5
9/28/2021,69.64
9/29/2021,67.71
9/30/2021,68.11
10/1/2021,67.39
10/4/2021,64.23
10/5/2021,63.96
10/6/2021,64.54
10/7/2021,64.79
10/8/2021,62.6
10/11/2021,61.46
10/12/2021,62.87
10/13/2021,62.73
10/14/2021,62.61
10/15/2021,63.53
10/18/2021,65.91
10/19/2021,66.34
10/20/2021,65.9
10/21/2021,65.5
10/22/2021,65.47
10/25/2021,67.95
10/26/2021,67.99
10/27/2021,67.29
10/28/2021,72.63
10/29/2021,75.8
11/1/2021,74.71
11/2/2021,73.39
11/3/2021,73.16
11/4/2021,79.62
11/5/2021,74.4
11/8/2021,75.58
11/9/2021,76.62
11/10/2021,72.15
11/11/2021,71.3
11/12/2021,76.91
11/15/2021,74.76
11/16/2021,75.98
11/17/2021,73.35
11/18/2021,72.92
11/19/2021,72.92
11/22/2021,66.04
11/23/2021,64.53
11/24/2021,67.1
11/26/2021,69.39
11/29/2021,68.66
11/30/2021,68.26
12/1/2021,66.5
12/2/2021,66
12/3/2021,62.69
12/6/2021,59.54
12/7/2021,60.77
12/8/2021,60.1
12/9/2021,56.3
12/10/2021,51.76
12/13/2021,55.26
12/14/2021,54.87
12/15/2021,56.37
12/16/2021,53.4
12/17/2021,54.76
12/20/2021,56.52
12/21/2021,55.22
12/22/2021,55.76
12/23/2021,59.26
12/27/2021,60.27
12/28/2021,60
12/29/2021,57.81
12/30/2021,59.43
12/31/2021,58.97
1/3/2022,57.48
1/4/2022,54.4
1/5/2022,52.01
1/6/2022,52.89
1/7/2022,48.52
1/10/2022,49.91
1/11/2022,50.93
1/12/2022,48.58
1/13/2022,46.09
